"Of all the earth's water, how much is ocean or seas?",97%,36%,68%,15%,medium
How much of the earth's surface is water?,71%,60%,40%,20%,medium
"If all the glaciers melt, how much could the sea levels rise?",230 feet,1.2 miles,1 foot,1000 feet,hard
Which of the following isn't a greenhouse gas?,Sunlight,H2O,CO2,Methane,hard
How much global sea level rise has there been over the last 100 years?,7 inches,1 inch,3 inches,2 feet,hard
How much food is wasted or lost each year?,1/3,1/10,3/4,1/6,hard
What is biodiversity?,The variety of life and species on Earth,The amount of total trees in the world,The amount of plastics recycled each year,The differences between food,easy
What does it mean when a species is endangered?,The species is in danger of going extinct,It's easily killed by pesticides,The species is in hybernation,It doesn't live in the United States,easy
What are the greatest threats facing endangered species?,All of these,Habitat destruction,Illegal hunting,Introducing new species that cause problems,medium
The Endangered Species Act was created to,Protect plants and animals that are at risk of becoming extinct,Make animals easier to hunt,Encourage people to adopt all animals as pets,None of these,medium
How much greenhouse gas did the US emit in 2019?,6.6 billion metric tons,1 million tons,"300,000 tons",We are carbon neutral,hard
How many tons of plastic waste are dumped into the ocean each year?,11 million,300 thousand,1 million,2 billion,hard
The US has how many species of native plants and animals?,"22,000",560,"140,000",2.3 million,hard
What type of greenhouse gas do cows burp and fart out?,Methane,Carbon dioxide,Water,Sulfur,medium
What's the greatest contributor to climate change?,Burning fossil fuels,Deforestation,Farming,Mining,medium
What is acid rain?,Rain that has been made acidic by certain pollutants in the air,Rain that tastes like lemons,Rain that is full of a lot of salt,Rain that is crystal clear and very pure,easy
What is smog?,Polluted air; combination of the words smoke and fog,When the air is super thick after it rains,The same as normal fog,Air that travels from the mountains into cities,medium
What is a greenhouse gas?,Gases in the Earth's atmosphere that trap heat,Gases that are in greenhouses and help plants grow,Gases that are a source of energy for humans,Gases that are toxic and poisonous to the touch,easy
What is coal?,"Black or brown rock that, when burned, releases energy in the form of heat","A type of gemstone that, when burned, releases energy in the form of sound","A type of tree that, when burned, releases energy in the form of light","A type of food that, when burned, releases energy in the form of electricity",easy
What is carbon dioxide?,"CO2; a colorless, odorless gas","C2O; a colorless, pungent gas","CO4; a pink, odorless gas",C2O4; a pink. pungent gas,medium
What is a glacier?,"A very large, thick mass of ice that stays frozen from one year to the next and has the ability to move",Rocks formed from pre-existing rocks or pieces of once-living organisms,Trees and shrubs that lose their leaves and become dormant during the winter,Detached clouds; they look like white fluffy cotton balls.,easy
What is sustainability?,Using resources in a way that will keep them available in the future,Gases in the Earth's atmosphere that trap heat,When human-produced CO2 absorbs in the ocean and makes it more acidic,A thin part of Earth's atmosphere that absorbs almost all of the sun's harmful ultraviolet light,easy
What is recycling?,Turning what would be garbage into something new,A type of bicycle,The cycle of water through the environment and atmosphere continuously,A renewable energy source that is produced from heat from within the Earth,easy
What is conservation?,The protection of nature,The cleaning of our bodies of water,When animals horde materials to survive the winter,A non-renewable energy source that is produced from coal,easy
What is an ecosystem?,A community of interacting organisms and their environment,The seasonal changes above the equator line,The method of obtaining energy for human use,A family of one species that lives isolated from the rest of the organisms in its environment,medium
What is the ozone layer?,A thin part of Earth's atmosphere that absorbs almost all of the sun's harmful ultraviolet light,A layer in the earth's crust that prevents water from getting through it,A layer of clouds that surrounds the top of a mountain,The clean air we breathe,medium
What is pollution?,Anything that makes the earth dirty and unhealthy,Something that is very healthy for you to eat,When humans turn off electricity to help save the planet,A type of bird known for its colorful feathers,easy
What are microplastics?,Extremely small pieces of plastic waste in the environment from humans,Extremely small pieces of wood that end up in our food,Extremely small pieces of metal that are in our clothes,Extremely small pieces of plastic waste made in our bodies,medium
What is composting?,Turning plant matter into rich soil,Turning a plastic bottle into another plastic bottle,Burning garbage to reduce space in landfills,Watering crops to help them grow faster,easy
What is environmental injustice?,Something that harms the environment and hurts one community more than other communities,Something that harms the environment,Something that impacts a particular community more severely than other communities,Something that pollutes,medium
What can be composted?,Orange peels,Plastic bottles,Glass,Metal,easy
What can't be composted?,Styrofoam,Wood chips,Leaves,Stale bread,medium
What is necessary for the composting process to occur?,Moisture and time,Heavy machinery,Conveyor belts,Activators,medium
Which of the following should not be put in the compost bin?,Meat scraps,Paper,Egg shells,Vegetable scraps,medium
What typically happens in rural communities that are full of valuable resources like oil and coal?,"They are left with water and air contamination, which makes the residents sick",Lots of money goes back into these communities,Communities get greener and healthier due to the extraction,Many people move there,hard
Which of these problems could happen if we don't look after the resources we have?,All of these,Climate change,Increase in pollution,Loss of habitats for animals,easy
What is not a sustainable practice?,Buying things,Reducing,Recyling,Reusing,easy
What are clouds made of?,Water,Oxygen,Nitrogen,Smoke,medium
Does Michigan steal signs?,No,Yes,,,easy
What is the most sustainable place to live?,In a city,In a house in the suburb,In a spaceship,,medium
